Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.257273
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.8747527
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.795469
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012318
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814224
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.0615413
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.8118636
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125175
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.9933646
86,17,Urban,Regular,99,4.69,Morning,Economy,167,669.2986265
60,38,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047
24,8,Rural,Gold,50,4.12,Morning,Economy,164,490.4107217
36,24,Suburban,Silver,88,4.22,Night,Premium,83,296.242876
63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888649
39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684
38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718
46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863
33,7,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629
31,7,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103
96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318
22,11,Suburban,Silver,79,4.48,Night,Economy,15,64.07117256
74,16,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658
24,12,Urban,Regular,10,3.6,Evening,Premium,45,212.166525
48,19,Suburban,Gold,72,3.81,Night,Premium,65,235.6581337
56,13,Rural,Regular,36,4.81,Evening,Economy,162,406.5574981
72,33,Rural,Gold,66,4.39,Morning,Premium,30,182.4744271
97,75,Urban,Silver,76,4.7,Night,Economy,158,652.6172973
62,33,Suburban,Regular,39,3.91,Evening,Premium,129,403.2270984
57,38,Suburban,Silver,54,4.1,Night,Premium,131,537.7848595
25,7,Suburban,Silver,13,3.99,Morning,Premium,81,286.1314526
75,56,Suburban,Gold,94,4.79,Evening,Premium,153,485.0546633
39,9,Urban,Gold,39,4.64,Afternoon,Premium,48,171.0859835
35,24,Suburban,Gold,73,3.76,Evening,Premium,105,485.8784537
68,32,Suburban,Regular,34,3.58,Morning,Economy,77,294.7328865
96,43,Rural,Silver,97,3.68,Morning,Premium,91,392.8387204
28,11,Suburban,Gold,52,4.33,Afternoon,Premium,94,456.1809468
25,15,Rural,Gold,65,4.88,Evening,Premium,101,502.5293208
28,6,Suburban,Regular,2,4.29,Morning,Economy,89,244.2176617
73,17,Rural,Regular,14,4.81,Evening,Premium,170,634.7265312
36,18,Urban,Silver,88,3.73,Night,Premium,92,345.4067683
56,10,Urban,Silver,55,4.5,Night,Economy,45,151.1521296
97,81,Suburban,Regular,52,4.56,Evening,Economy,125,530.7599939
63,9,Rural,Regular,89,3.87,Afternoon,Premium,166,482.8501642
78,33,Urban,Silver,35,4.46,Morning,Premium,116,355.9595075
29,10,Suburban,Regular,25,3.77,Afternoon,Economy,91,303.9609626
73,33,Suburban,Silver,60,3.88,Night,Premium,161,514.8771742
94,29,Urban,Regular,67,3.59,Evening,Premium,96,361.132355
54,28,Suburban,Silver,83,4.49,Night,Economy,32,80.26246462
67,6,Rural,Gold,15,3.53,Night,Economy,123,420.6239113
23,8,Urban,Silver,27,4.73,Afternoon,Economy,117,520.8926706
70,14,Urban,Silver,16,4.3,Morning,Economy,53,183.075791
20,10,Rural,Silver,70,4.92,Evening,Economy,65,190.1374636
95,84,Suburban,Gold,18,3.86,Afternoon,Premium,112,522.3021029
43,16,Urban,Silver,40,4.89,Night,Premium,106,410.6863449
97,55,Suburban,Silver,94,4.62,Evening,Premium,150,584.9958711
